k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,0,-1,0,0,0,0,0.059524081632653,36.734693877551024,0
-1,1,0,0,2,0,0,0.2659461224489796,61.224489795918366,0
-1,1,0,0,4,0,0,0.2896530612244898,65.3061224489796,0
0,-1,-1,0,0,0,0,0.0311681632653061,30.612244897959183,0
1,-1,0,4,0,0,0,0.3122273469387755,69.38775510204081,0
1,-1,10,4,0,4,9,3.669791714285714,75.10204081632654,0
1,0,-1,2,0,0,0,0.0811412244897959,40.81632653061224,0
1,0,-1,4,0,0,0,0.0871424489795918,42.85714285714285,0
1,1,0,2,2,0,0,0.2556714285714285,59.18367346938776,0
1,1,0,2,4,0,0,0.2712036734693877,63.26530612244898,0
1,1,0,4,4,0,0,0.2933208163265306,67.3469387755102,0
1,3,-1,2,2,0,9,0.1873496326530611,48.16326530612245,0
1,3,-1,2,4,0,9,0.2010415510204081,48.97959183673469,0
1,3,-1,4,2,0,9,0.2013286122448979,49.79591836734694,0
1,3,-1,4,4,0,9,0.2162934693877551,51.22448979591836,0
1,3,0,4,4,0,9,0.4409665306122448,71.0204081632653,0
1,3,10,4,4,2,9,2.6699562448979592,72.6530612244898,0
1,3,10,4,4,4,9,3.159581591836735,74.48979591836735,0
1,10,0,4,4,0,9,0.845191551020408,72.0408163265306,0
1,10,10,4,4,2,9,3.0175247346938776,73.46938775510205,0
1,10,10,4,4,4,9,3.4926938775510203,75.10204081632652,0
-1,-1,0,0,0,0,0,0.3425669387755102,67.3469387755102,1
-1,-1,5,0,0,4,9,2.3291462448979594,70.61224489795919,1
-1,-1,10,0,0,4,9,4.674165551020408,74.28571428571429,1
-1,0,-1,0,0,0,0,0.059524081632653,36.734693877551024,1
-1,3,-1,0,2,0,9,0.204604081632653,44.89795918367346,1
-1,3,-1,0,4,0,9,0.2245397142857143,46.53061224489796,1
-1,5,-1,0,2,0,9,0.341873469387755,47.3469387755102,1
0,-1,-1,0,0,0,0,0.0311681632653061,30.612244897959183,1
5,-1,-1,4,0,0,9,0.1861812244897959,37.55102040816326,1
