k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,0,0,0,0,0,0.3476093877551021,63.26530612244898,0
-1,-1,5,0,0,2,9,1.9555078775510208,63.46938775510205,0
-1,-1,5,0,0,4,9,2.3542803673469392,65.3061224489796,0
-1,-1,10,0,0,2,9,3.914747877551021,68.36734693877551,0
-1,-1,10,0,0,4,9,4.687417959183674,69.38775510204081,0
-1,0,-1,0,0,0,0,0.0676583673469387,38.775510204081634,0
-1,1,0,0,2,0,0,0.1578028571428571,51.02040816326531,0
-1,10,10,0,4,2,9,1.9736570612244897,64.48979591836735,0
0,-1,-1,0,0,0,0,0.0393608163265306,14.285714285714285,0
1,1,0,4,2,0,0,0.1521544897959183,40.81632653061224,0
-1,-1,0,0,0,0,0,0.3476093877551021,63.26530612244898,1
-1,-1,5,0,0,2,9,1.9555078775510208,63.46938775510205,1
-1,-1,5,0,0,4,9,2.3542803673469392,65.3061224489796,1
-1,-1,10,0,0,2,9,3.914747877551021,68.36734693877551,1
-1,-1,10,0,0,4,9,4.687417959183674,69.38775510204081,1
-1,0,-1,0,0,0,0,0.0676583673469387,38.775510204081634,1
-1,3,-1,0,2,0,9,0.2229558367346938,41.22448979591836,1
-1,3,-1,0,4,0,9,0.2445888979591836,42.24489795918368,1
0,-1,-1,0,0,0,0,0.0393608163265306,14.285714285714285,1
