k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,0,0,0,0,0,1.187538125,61.71875,0
-1,-1,10,0,0,2,9,18.16992834375,68.046875,0
-1,-1,10,0,0,4,9,24.556227453125,68.125,0
-1,3,0,0,2,0,9,2.876121007812501,64.453125,0
-1,3,3,0,2,2,9,4.2008679296875,65.78125,0
-1,3,3,0,2,4,9,4.7822224765625005,65.9375,0
-1,3,5,0,2,2,9,5.356905460937499,66.25,0
-1,3,10,0,2,2,9,8.229193429687502,66.640625,0
-1,5,-1,0,2,0,9,4.098236765625,65.546875,0
-1,5,10,0,2,4,9,11.81473725,66.71875,0
-1,5,10,0,4,4,9,12.7926274375,66.875,0
0,-1,-1,0,0,0,0,0.1634949999999999,57.8125,0
1,-1,0,4,0,0,0,0.7750290625,58.59375,0
1,3,-1,4,2,0,9,1.0820785,61.328125,0
1,3,3,4,2,2,9,2.154892796875,63.125,0
1,5,-1,4,2,0,9,1.5558941171874996,62.890625,0
3,0,-1,2,0,0,9,0.9336338750000002,59.06249999999999,0
3,5,-1,2,2,0,9,2.2602719140625,63.35937499999999,0
5,3,0,2,2,0,9,2.498427664062501,63.90625,0
5,3,3,2,2,2,9,3.4980711484375,64.921875,0
5,5,-1,2,2,0,9,2.7754370234375,64.21875,0
-1,-1,0,0,0,0,0,1.187538125,61.71875,1
-1,-1,5,0,0,2,9,9.114319046875,66.40625,1
-1,-1,10,0,0,2,9,18.16992834375,68.046875,1
-1,-1,10,0,0,4,9,24.556227453125,68.125,1
-1,3,-1,0,2,0,9,2.4577148671875,63.20312500000001,1
-1,5,-1,0,2,0,9,4.098236765625,65.546875,1
0,-1,-1,0,0,0,0,0.1634949999999999,57.8125,1
