k1,k2,k3,k4,t1,t2,t3,t4,loop,cost,accuracy,Singular
-1,-1,-1,0,0,0,0,0,0,1.4352979591836736,42.85714285714285,0
-1,-1,0,-1,0,0,0,0,0,0.5826214285714286,34.69387755102041,0
-1,-1,1,5,0,0,4,2,9,8.204802244897959,45.30612244897959,0
-1,0,-1,-1,0,0,0,0,0,0.2216714285714285,26.53061224489796,0
-1,1,0,-1,0,2,0,0,0,0.8816006122448982,36.734693877551024,0
0,-1,-1,-1,0,0,0,0,0,0.1549175510204082,14.285714285714285,0
-1,-1,-1,0,0,0,0,0,0,1.4352979591836736,42.85714285714285,1
-1,-1,0,-1,0,0,0,0,0,0.5826214285714286,34.69387755102041,1
-1,0,-1,-1,0,0,0,0,0,0.2216714285714285,26.53061224489796,1
0,-1,-1,-1,0,0,0,0,0,0.1549175510204082,14.285714285714285,1
