k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,-1,0,0,0,0,0,0.0716216326530612,34.69387755102041,0
-1,0,-1,0,0,0,0,0.0097110204081632,32.6530612244898,0
-1,1,3,0,2,2,9,0.2649738775510204,37.142857142857146,0
-1,1,5,0,2,2,9,0.4366661632653061,38.36734693877551,0
-1,1,10,0,2,2,9,0.8546504489795919,38.9795918367347,0
-1,3,0,0,2,0,9,0.1165073061224489,34.89795918367347,0
0,-1,-1,0,0,0,0,0.0076469387755102,28.57142857142857,0
1,1,3,2,2,2,9,0.257080081632653,35.306122448979586,0
3,0,-1,2,0,0,9,0.0392184489795918,32.857142857142854,0
5,1,3,2,2,2,9,0.3126833469387755,37.3469387755102,0
5,1,5,2,2,2,9,0.4830055510204082,38.57142857142858,0
