k1,k2,k3,k4,t1,t2,t3,t4,loop,cost,accuracy,Singular
-1,-1,-1,0,0,0,0,0,0,1.9839393750000007,43.75,0
-1,-1,0,-1,0,0,0,0,0,0.9503128906250002,39.0625,0
-1,-1,1,0,0,0,2,0,0,4.816722578125003,46.09375,0
-1,-1,1,5,0,0,2,2,9,11.905011890625,46.40625,0
-1,-1,1,5,0,0,4,2,9,12.863578843749996,47.109375,0
-1,-1,1,5,0,0,4,4,9,15.75425921875,47.5,0
-1,-1,1,10,0,0,2,2,9,21.214405734375,47.8125,0
-1,-1,1,10,0,0,4,2,9,22.032225625,48.203125,0
-1,0,-1,-1,0,0,0,0,0,0.7919174999999998,34.375,0
-1,5,1,0,0,4,2,0,9,7.527612453125,46.171875,0
-1,10,1,5,0,2,4,4,9,19.993972359375,47.65625,0
-1,10,1,10,0,2,4,2,9,26.267533953125003,48.28125,0
-1,10,1,10,0,2,4,4,9,32.062301296875,48.359375,0
-1,10,10,10,0,2,4,4,9,50.99934640624999,48.4375,0
0,-1,-1,-1,0,0,0,0,0,0.4120299218749999,21.875,0
-1,-1,-1,0,0,0,0,0,0,1.9839393750000007,43.75,1
-1,-1,-1,5,0,0,0,2,9,11.06221359375,45.9375,1
-1,-1,-1,5,0,0,0,4,9,14.83867515625,46.484375,1
-1,-1,-1,10,0,0,0,2,9,22.40589175,47.5,1
-1,-1,-1,10,0,0,0,4,9,30.00935196875,48.125,1
-1,-1,0,-1,0,0,0,0,0,0.9503128906250002,39.0625,1
-1,0,-1,-1,0,0,0,0,0,0.7919174999999998,34.375,1
0,-1,-1,-1,0,0,0,0,0,0.4120299218749999,21.875,1
