k1,k2,k3,k4,t1,t2,t3,t4,loop,cost,accuracy,Singular
-1,-1,-1,0,0,0,0,0,0,1.9839393750000007,43.75,0
-1,-1,0,-1,0,0,0,0,0,0.9503128906250002,39.0625,0
-1,-1,1,0,0,0,2,0,0,4.816722578125003,46.09375,0
-1,-1,1,5,0,0,4,2,9,13.61919634375,47.5,0
-1,-1,1,5,0,0,4,4,9,16.769982375000005,48.046875,0
-1,-1,1,10,0,0,4,2,9,23.605541875,48.828125,0
-1,-1,1,10,0,0,4,4,9,29.915154937499995,49.0625,0
-1,0,-1,-1,0,0,0,0,0,0.7919174999999998,34.375,0
0,-1,-1,-1,0,0,0,0,0,0.4120299218749999,21.875,0
1,-1,-1,0,4,0,0,0,0,2.4691975,44.53125,0
1,-1,0,-1,4,0,0,0,0,1.7653100000000002,41.40625,0
1,-1,1,0,4,0,2,0,0,5.209056328125001,46.875,0
-1,-1,-1,0,0,0,0,0,0,1.9839393750000007,43.75,1
-1,-1,-1,5,0,0,0,2,9,11.06221359375,45.9375,1
-1,-1,-1,5,0,0,0,4,9,14.83867515625,46.484375,1
-1,-1,-1,10,0,0,0,2,9,22.40589175,47.5,1
-1,-1,-1,10,0,0,0,4,9,30.00935196875,48.125,1
-1,-1,0,-1,0,0,0,0,0,0.9503128906250002,39.0625,1
-1,0,-1,-1,0,0,0,0,0,0.7919174999999998,34.375,1
0,-1,-1,-1,0,0,0,0,0,0.4120299218749999,21.875,1
