k1,k2,k3,k4,t1,t2,t3,t4,loop,cost,accuracy,Singular
-1,-1,-1,0,0,0,0,0,0,1.9839393750000007,43.75,0
-1,-1,0,-1,0,0,0,0,0,0.9503128906250002,39.0625,0
-1,-1,1,0,0,0,2,0,0,4.380971328125004,46.09375,0
-1,-1,1,0,0,0,4,0,0,5.659330624999998,46.875,0
-1,-1,1,5,0,0,4,2,9,11.635596937499995,47.265625,0
-1,-1,1,5,0,0,4,4,9,14.177587624999996,47.5,0
-1,-1,1,10,0,0,4,2,9,19.72435515625,48.28125,0
-1,-1,1,10,0,0,4,4,9,24.838652875,48.359375,0
-1,-1,5,0,0,0,2,0,9,8.162826726562498,46.953125,0
-1,-1,5,0,0,0,4,0,9,10.684749874999998,47.109375,0
-1,0,-1,-1,0,0,0,0,0,0.7919174999999998,34.375,0
0,-1,-1,-1,0,0,0,0,0,0.4120299218749999,21.875,0
-1,-1,-1,0,0,0,0,0,0,1.9839393750000007,43.75,1
-1,-1,-1,5,0,0,0,2,9,11.06221359375,45.9375,1
-1,-1,-1,5,0,0,0,4,9,14.83867515625,46.484375,1
-1,-1,-1,10,0,0,0,2,9,22.40589175,47.5,1
-1,-1,-1,10,0,0,0,4,9,30.00935196875,48.125,1
-1,-1,0,-1,0,0,0,0,0,0.9503128906250002,39.0625,1
-1,0,-1,-1,0,0,0,0,0,0.7919174999999998,34.375,1
0,-1,-1,-1,0,0,0,0,0,0.4120299218749999,21.875,1
