k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
-1,0,-1,0,0,0,0,1.6304714285714283,69.38775510204081,0
-1,1,0,0,2,0,0,3.2224500000000003,73.46938775510205,0
-1,1,3,0,2,2,9,6.69848412244898,76.32653061224491,0
-1,1,5,0,2,2,9,9.93688412244898,76.93877551020408,0
-1,1,10,0,4,4,9,36.1678932244898,81.22448979591837,0
-1,3,5,0,4,4,9,31.49934906122449,80.61224489795919,0
-1,5,10,0,4,4,9,64.29292251020408,83.6734693877551,0
-1,10,-1,0,4,0,9,20.726326428571426,79.18367346938776,0
0,-1,-1,0,0,0,0,0.4928579591836732,59.18367346938776,0
1,0,-1,2,0,0,0,1.1406795918367345,65.3061224489796,0
3,-1,-1,2,0,0,9,1.619644918367347,67.75510204081631,0
3,-1,-1,4,0,0,9,1.892155142857143,70.0,0
3,-1,0,2,0,0,9,1.619644918367347,67.75510204081631,0
3,-1,0,4,0,0,9,1.892155142857143,70.0,0
3,-1,3,4,0,2,9,14.063210653061226,77.14285714285715,0
3,-1,3,4,0,4,9,16.553969836734694,77.9591836734694,0
3,-1,5,4,0,4,9,26.481359387755106,80.0,0
3,-1,10,4,0,4,9,50.95523693877551,83.46938775510203,0
3,3,3,4,4,2,9,17.020819938775514,78.16326530612245,0
3,3,5,4,4,4,9,28.011718224489798,80.20408163265307,0
3,3,10,4,4,2,9,42.18178353061224,82.0408163265306,0
3,3,10,4,4,4,9,49.536297326530615,83.06122448979592,0
3,5,-1,4,4,0,9,9.49936157142857,76.73469387755102,0
3,5,3,4,2,2,9,15.928317408163268,77.55102040816327,0
3,5,3,4,4,4,9,22.664985897959188,79.38775510204081,0
3,5,10,4,2,2,9,34.025066632653065,80.81632653061223,0
3,5,10,4,4,2,9,46.12946573469388,82.6530612244898,0
3,10,-1,4,4,0,9,17.037706571428572,78.9795918367347,0
5,-1,-1,4,0,0,9,3.139537163265305,71.83673469387755,0
5,-1,0,4,0,0,9,3.139537163265305,71.83673469387755,0
10,-1,-1,4,0,0,9,6.273777000000001,74.48979591836735,0
10,-1,0,4,0,0,9,6.273777000000001,74.48979591836735,0
-1,-1,10,0,0,4,9,67.8787227755102,82.85714285714285,1
-1,0,-1,0,0,0,0,1.6304714285714283,69.38775510204081,1
-1,5,-1,0,4,0,9,10.406937857142855,76.73469387755102,1
-1,10,-1,0,4,0,9,20.726326428571426,79.18367346938776,1
0,-1,-1,0,0,0,0,0.4928579591836732,59.18367346938776,1
3,-1,-1,2,0,0,9,1.619644918367347,67.75510204081631,1
3,-1,-1,4,0,0,9,1.892155142857143,70.0,1
5,-1,-1,4,0,0,9,3.139537163265305,71.83673469387755,1
10,-1,-1,2,0,0,9,5.369972795918367,72.44897959183673,1
10,-1,-1,4,0,0,9,6.273777000000001,74.48979591836735,1
